city,property_type,page_url,location,price,area,beds,baths
Islamabad,House,zameen.com/Property/g_14_g_14_4_brand_new_luxury_good_location_25_x_40_house_for_sale_in_g_14_islamabad-43101258-3346-1.html,"G-14/4, G-14",2.8 Crore,4.4 Marla,5,6
Islamabad,House,zameen.com/Property/g_13_g_13_1_brand_new_luxury_proper_corner_with_extra_land_good_location_30_x_60_7_marla_house_for_sale_in_g_13_islamabad-43101315-3337-1.html,"G-13/1, G-13",5.25 Crore,8 Marla,7,7
Islamabad,House,zameen.com/Property/islamabad_f_8_furnished_brand_new_cda_transfer_solar_system_house-40993285-166-1.html,"F-8, Islamabad",28.5 Crore,1.2 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_1_kanal_house_is_available_in_affordable_price_in_dha_defence_phase_2-43147724-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_1_kanal_house_for_sale_in_dha_defence_phase_2-43147726-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_ideal_good_location_house_for_sale_in_dha_defence_phase_2-43147729-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_buying_a_good_location_house_in_dha_defence_phase_2_islamabad_-43147755-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_looking_for_a_good_location_house_in_islamabad-43147710-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_ideal_good_location_1_kanal_house_has_landed_on_market_in_dha_defence_phase_2__islamabad-43147689-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_your_search_ends_right_here_with_the_beautiful_good_location_house_in_dha_defence_phase_2_at_affordable_price_of_pkr_rs_95_000_000-43147691-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/mpchs_multi_gardens_mpchs_block_c1_house_available_for_sale_c_1_size_5_marla_in_multi_gardens_b_17_islamabad-42849072-12607-1.html,"MPCHS - Block C1, MPCHS - Multi Gardens",2 Crore,5 Marla,4,4
Islamabad,House,zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_brand_new_10_marla_4_bed_designer_house-42711532-8399-1.html,"DHA Phase 2 - Sector J, DHA Defence Phase 2",5.2 Crore,10 Marla,6,7
Islamabad,House,zameen.com/Property/islamabad_f_8_extra_land_three_sides_corner_fully_furnished_house-42944332-166-1.html,"F-8, Islamabad",32 Crore,1.3 Kanal,7,6
Islamabad,House,zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_main_boulevard_solid_land_beautiful_house_for_urgent_sale-41725194-3193-1.html,"DHA Phase 1 - Sector E, DHA Defence Phase 1",7.7 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/islamabad_i_8_12_marla_double_storey_house_for_sale-42887476-174-1.html,"I-8, Islamabad",8.25 Crore,12 Marla,5,6
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_10_marla_brand_new_luxurious_house_beautiful_location_on_reasonable_price-42491375-11970-1.html,"Bahria Enclave - Sector A, Bahria Enclave",4.8 Crore,10 Marla,4,4
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_g_9_marla_house_in_bahria_enclave_sector_g_for_sale-43091438-11984-1.html,"Bahria Enclave - Sector G, Bahria Enclave",4.5 Crore,9 Marla,5,5
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_ready_to_buy_a_house_in_bahria_enclave_sector_a_islamabad-43091433-11970-1.html,"Bahria Enclave - Sector A, Bahria Enclave",4.9 Crore,10 Marla,5,5
Islamabad,House,zameen.com/Property/d_12_d_12_1_prime_location_brand_new_double_storey_house_is_available_for_sale_in_d_12_1_islamabad_-41553652-3154-1.html,"D-12/1, D-12",4.25 Crore,4 Marla,5,6
Islamabad,House,zameen.com/Property/f_11_f_11_4_f11__4_vip_location_house_for_sale-42529437-3285-1.html,"F-11/4, F-11",14.5 Crore,1 Kanal,5,5
Islamabad,House,zameen.com/Property/kashmir_highway_eighteen_luxury_villas_for_sale_eighteen_kashmir_highway_islamabad-41407893-12602-1.html,"Eighteen, Kashmir Highway",9 Crore,1 Kanal,6,7
Islamabad,House,zameen.com/Property/kashmir_highway_eighteen_house_of_3789_square_feet_is_available_for_sale-42535583-12602-1.html,"Eighteen, Kashmir Highway",6.5 Crore,16.8 Marla,6,7
Islamabad,House,zameen.com/Property/islamabad_f_8_three_sides_corner_fully_furnished_extra_land_house-42944560-166-1.html,"F-8, Islamabad",32 Crore,1.3 Kanal,5,5
Islamabad,House,zameen.com/Property/islamabad_f_7_spanish_style_house_with_swimming_pool-39113661-165-1.html,"F-7, Islamabad",47 Crore,2 Kanal,5,5
